Hét,Intervallum,Korcsoport,Összes,TB-n kívül,Oltatlan,Egyszer oltott (1-20),Egyszer oltott (21-),Kétszer oltott,Kétszer oltottak aránya,Oltatlanok aránya
36,32-35,Under 18,438,25,404,8,1,0,0.0,3.4
36,32-35,18-29,584,14,387,17,86,80,1.7,11.1
36,32-35,30-39,733,16,516,16,67,118,2.1,17.4
36,32-35,40-49,783,14,497,17,35,220,3.6,29.0
36,32-35,50-59,877,10,421,11,29,406,5.8,40.7
36,32-35,60-69,946,7,328,7,33,571,10.1,60.3
36,32-35,70-79,1098,3,194,2,26,873,18.8,78.3
36,32-35,80+,1146,1,144,1,35,965,37.4,112.9
37,33-36,Under 18,539,29,494,13,3,0,0.0,4.2
37,33-36,18-29,635,19,414,17,86,99,2.0,12.0
37,33-36,30-39,848,17,608,14,66,143,2.5,20.6
37,33-36,40-49,903,26,551,10,50,266,4.4,32.2
37,33-36,50-59,1147,12,533,6,41,555,7.9,51.7
37,33-36,60-69,1239,14,403,7,50,765,13.5,74.3
37,33-36,70-79,1517,2,239,3,25,1248,26.9,96.6
37,33-36,80+,1528,2,183,1,42,1300,50.5,143.9
38,34-37,Under 18,511,18,478,12,3,0,0.0,4.0
38,34-37,18-29,523,15,348,12,70,78,1.5,10.1
38,34-37,30-39,809,19,582,13,51,144,2.5,19.8
38,34-37,40-49,823,20,473,5,53,272,4.5,27.8
38,34-37,50-59,1174,9,530,4,47,584,8.3,51.5
38,34-37,60-69,1251,11,402,5,43,790,13.9,74.2
38,34-37,70-79,1554,2,228,3,24,1297,28.0,92.3
38,34-37,80+,1610,1,179,1,37,1392,54.2,141.1
39,35-38,Under 18,525,14,487,20,4,0,0.0,4.1
39,35-38,18-29,471,10,315,7,61,78,1.5,9.2
39,35-38,30-39,700,14,503,8,39,136,2.4,17.2
39,35-38,40-49,806,17,432,8,51,298,4.9,25.5
39,35-38,50-59,1082,7,462,4,46,563,8.0,45.0
39,35-38,60-69,1139,8,345,4,39,743,13.1,63.8
39,35-38,70-79,1454,2,217,3,27,1205,26.0,87.9
39,35-38,80+,1552,1,161,0,35,1355,52.7,127.3
40,36-39,Under 18,486,20,455,3,7,1,0.5,3.9
40,36-39,18-29,348,6,241,6,35,60,1.1,7.1
40,36-39,30-39,588,15,396,5,46,126,2.2,13.6
40,36-39,40-49,769,15,388,9,46,311,5.1,23.0
40,36-39,50-59,870,6,359,3,36,466,6.6,35.1
40,36-39,60-69,963,8,274,4,29,648,11.4,50.7
40,36-39,70-79,1246,2,173,2,30,1039,22.4,70.2
40,36-39,80+,1421,2,125,1,34,1259,49.0,99.1
41,37-40,Under 18,408,11,386,3,7,1,0.4,3.3
41,37-40,18-29,268,5,186,5,24,48,0.9,5.5
41,37-40,30-39,465,13,293,1,37,121,2.1,10.1
41,37-40,40-49,647,8,317,9,32,281,4.6,18.8
41,37-40,50-59,659,3,263,1,22,370,5.2,25.7
41,37-40,60-69,688,8,177,3,23,477,8.4,32.8
41,37-40,70-79,934,0,126,2,27,779,16.8,51.2
41,37-40,80+,1079,0,94,1,27,957,37.3,74.8
42,38-41,Under 18,601,20,560,9,10,2,0.8,4.8
42,38-41,18-29,300,6,199,3,23,69,1.3,5.9
42,38-41,30-39,631,7,388,2,45,189,3.2,13.4
42,38-41,40-49,914,11,461,6,38,398,6.5,27.4
42,38-41,50-59,993,11,385,1,44,552,7.8,37.7
42,38-41,60-69,1023,9,240,5,40,729,12.8,44.5
42,38-41,70-79,1377,1,167,3,32,1174,25.3,67.9
42,38-41,80+,1553,2,134,1,43,1373,53.4,106.7
43,39-42,Under 18,633,17,592,12,11,1,0.7,5.3
43,39-42,18-29,324,8,212,2,28,74,1.3,6.4
43,39-42,30-39,708,10,446,2,47,203,3.4,15.4
43,39-42,40-49,991,14,495,5,40,437,7.1,28.8
43,39-42,50-59,1139,13,447,1,46,632,8.9,43.0
43,39-42,60-69,1177,12,288,3,33,841,14.6,52.0
43,39-42,70-79,1642,1,195,3,34,1409,29.8,76.7
43,39-42,80+,1724,2,157,0,38,1527,56.8,120.8
44,40-43,Under 18,581,20,539,12,9,1,0.4,4.6
44,40-43,18-29,323,7,212,3,30,71,1.3,6.2
44,40-43,30-39,665,9,425,5,37,189,3.2,14.7
44,40-43,40-49,1006,16,472,5,45,468,7.6,28.0
44,40-43,50-59,1233,18,474,1,51,689,9.7,46.4
44,40-43,60-69,1308,7,318,2,29,952,16.7,59.0
44,40-43,70-79,1802,5,198,3,32,1564,33.8,80.5
44,40-43,80+,1804,3,168,0,33,1600,62.3,133.7
