Hét,Intervallum,Korcsoport,Összes,TB-n kívül,Oltatlan,Egyszer oltott (1-20),Egyszer oltott (21-),Kétszer oltott,Kétszer oltottak aránya,Oltatlanok aránya
36,32-35,Under 18,3,0,3,0,0,0,0.0,0.0
36,32-35,18-29,18,1,13,0,1,3,0.1,0.4
36,32-35,30-39,45,2,31,0,4,8,0.1,1.0
36,32-35,40-49,93,3,54,0,9,27,0.4,3.1
36,32-35,50-59,191,3,100,0,17,71,1.0,9.7
36,32-35,60-69,332,7,115,2,14,194,3.4,21.2
36,32-35,70-79,580,2,129,1,20,428,9.2,52.1
36,32-35,80+,"1,119",7,155,3,26,928,36.0,121.5
37,33-36,Under 18,4,1,3,0,0,0,0.0,0.0
37,33-36,18-29,18,0,13,0,1,4,0.1,0.4
37,33-36,30-39,50,2,36,0,3,9,0.2,1.2
37,33-36,40-49,114,3,75,0,7,29,0.5,4.4
37,33-36,50-59,240,5,126,0,16,93,1.3,12.2
37,33-36,60-69,391,9,132,1,18,231,4.1,24.3
37,33-36,70-79,742,2,156,0,28,556,12.0,63.1
37,33-36,80+,"1,402",7,185,4,34,"1,172",45.5,145.4
38,34-37,Under 18,6,2,4,0,0,0,0.0,0.0
38,34-37,18-29,17,0,12,0,0,5,0.1,0.3
38,34-37,30-39,48,2,35,0,1,10,0.2,1.2
38,34-37,40-49,104,3,64,0,7,30,0.5,3.8
38,34-37,50-59,250,7,128,0,13,102,1.4,12.4
38,34-37,60-69,411,8,125,0,20,258,4.5,23.1
38,34-37,70-79,801,3,164,0,27,607,13.1,66.4
38,34-37,80+,"1,521",8,198,1,42,"1,272",49.5,156.0
39,35-38,Under 18,6,2,4,0,0,0,0.0,0.0
39,35-38,18-29,20,1,15,0,0,4,0.1,0.4
39,35-38,30-39,42,1,30,0,0,11,0.2,1.0
39,35-38,40-49,92,3,52,0,7,30,0.5,3.1
39,35-38,50-59,251,5,125,0,12,109,1.5,12.2
39,35-38,60-69,419,4,121,0,21,273,4.8,22.4
39,35-38,70-79,804,4,151,0,26,623,13.4,61.2
39,35-38,80+,"1,531",10,189,1,43,"1,288",50.1,149.4
40,36-39,Under 18,6,3,2,1,0,0,0.0,0.0
40,36-39,18-29,18,1,12,0,0,5,0.1,0.4
40,36-39,30-39,38,2,29,0,0,7,0.1,1.0
40,36-39,40-49,77,3,46,0,5,23,0.4,2.7
40,36-39,50-59,238,6,113,1,12,106,1.5,11.0
40,36-39,60-69,414,7,114,0,22,271,4.8,21.1
40,36-39,70-79,786,3,127,0,22,634,13.7,51.6
40,36-39,80+,"1,449",8,168,1,37,"1,235",48.1,133.2
41,37-40,Under 18,4,0,3,1,0,0,0.0,0.0
41,37-40,18-29,19,1,12,0,0,6,0.1,0.4
41,37-40,30-39,29,1,22,0,0,6,0.1,0.8
41,37-40,40-49,64,1,33,0,3,27,0.4,2.0
41,37-40,50-59,203,3,101,1,10,88,1.2,9.9
41,37-40,60-69,378,6,109,0,22,241,4.2,20.2
41,37-40,70-79,726,2,116,0,19,589,12.7,47.2
41,37-40,80+,"1,382",6,161,0,36,"1,179",45.9,128.1
42,38-41,Under 18,5,0,4,1,0,0,0.0,0.0
42,38-41,18-29,17,1,11,0,0,5,0.1,0.3
42,38-41,30-39,24,1,20,0,0,3,0.1,0.7
42,38-41,40-49,64,1,34,0,1,28,0.5,2.0
42,38-41,50-59,184,3,83,1,9,88,1.2,8.1
42,38-41,60-69,367,4,105,0,20,238,4.2,19.5
42,38-41,70-79,719,3,98,0,19,599,12.9,39.9
42,38-41,80+,"1,365",6,147,0,37,"1,175",45.7,117.0
43,39-42,Under 18,5,0,4,1,0,0,0.0,0.0
43,39-42,18-29,11,1,7,0,0,3,0.1,0.2
43,39-42,30-39,25,0,18,0,1,6,0.1,0.6
43,39-42,40-49,65,1,35,0,1,28,0.5,2.0
43,39-42,50-59,159,3,74,0,5,77,1.1,7.1
43,39-42,60-69,374,3,105,0,16,250,4.3,19.0
43,39-42,70-79,736,2,101,0,21,612,13.0,39.7
43,39-42,80+,"1,397",5,143,0,40,"1,209",44.9,110.0
