Hét,Intervallum,Korcsoport,Összes,TB-n kívül,Oltatlan,Egyszer oltott (1-20),Egyszer oltott (21-),Kétszer oltott,Kétszer oltottak aránya,Oltatlanok aránya
36,32-35,Under 18,167832,15901,141676,8132,1366,757,476.0,1192.9
36,32-35,18-29,176392,19529,53187,4598,66545,32533,711.1,1520.8
36,32-35,30-39,113373,12452,33986,1497,22434,43004,782.2,1143.9
36,32-35,40-49,97881,8930,15106,496,6000,67349,1116.2,880.4
36,32-35,50-59,84488,6868,7552,168,2248,67652,962.0,729.7
36,32-35,60-69,45252,3657,2650,54,772,38119,672.3,487.5
36,32-35,70-79,25499,2034,910,12,273,22270,480.5,367.5
36,32-35,80+,12011,1124,545,9,246,10087,391.1,427.4
37,33-36,Under 18,190863,16825,161418,9812,1999,809,458.2,1362.3
37,33-36,18-29,145087,15923,44455,3280,50338,31091,633.3,1284.9
37,33-36,30-39,105839,11081,31577,1225,17273,44683,795.9,1069.8
37,33-36,40-49,98990,8593,14570,426,5215,70186,1157.3,852.6
37,33-36,50-59,84468,6559,7215,145,2080,68469,972.1,699.2
37,33-36,60-69,46557,3462,2592,51,766,39686,699.5,477.7
37,33-36,70-79,26937,2012,918,8,260,23739,512.3,371.1
37,33-36,80+,12563,1142,540,9,256,10616,412.3,424.5
38,34-37,Under 18,219031,17862,188468,9288,2740,673,349.5,1592.2
38,34-37,18-29,109093,12556,35776,2221,31099,27441,533.5,1041.7
38,34-37,30-39,95772,9698,27959,982,12940,44193,775.2,952.9
38,34-37,40-49,96254,7930,13395,349,4439,70141,1151.2,787.1
38,34-37,50-59,78706,5897,6527,115,1811,64356,912.3,634.4
38,34-37,60-69,43850,3228,2341,35,711,37535,661.2,432.1
38,34-37,70-79,25712,1798,889,7,222,22796,492.0,359.8
38,34-37,80+,12164,1077,490,7,221,10369,403.4,386.1
39,35-38,Under 18,273685,20290,240077,8217,4419,682,330.4,2032.0
39,35-38,18-29,87622,10336,29488,1652,20962,25184,475.6,863.0
39,35-38,30-39,89030,8575,24770,826,9888,44971,780.1,848.9
39,35-38,40-49,99159,7350,12536,307,4009,74957,1225.5,739.5
39,35-38,50-59,74397,5227,5874,96,1602,61598,872.1,572.4
39,35-38,60-69,40346,2887,2028,28,629,34774,612.3,374.9
39,35-38,70-79,23835,1584,783,7,212,21249,458.7,317.3
39,35-38,80+,11415,988,446,4,212,9765,380.1,352.5
40,36-39,Under 18,305428,20967,272981,4973,5898,609,278.8,2325.7
40,36-39,18-29,67820,8556,23440,1119,12593,22112,409.6,688.1
40,36-39,30-39,81532,7534,21449,690,7468,44391,763.6,738.4
40,36-39,40-49,101094,6839,11662,297,3653,78643,1281.8,690.2
40,36-39,50-59,70731,4668,5144,89,1464,59366,839.5,502.5
40,36-39,60-69,36953,2585,1798,26,546,31998,563.1,332.9
40,36-39,70-79,22142,1367,693,6,207,19869,428.9,281.4
40,36-39,80+,10581,869,403,4,199,9106,354.4,319.5
41,37-40,Under 18,348514,22301,311199,6396,7964,654,276.5,2670.7
41,37-40,18-29,60057,7683,20547,837,8937,22053,402.6,605.0
41,37-40,30-39,83007,7138,20532,626,6479,48232,823.9,709.8
41,37-40,40-49,111896,6778,11729,292,3551,89546,1455.8,696.2
41,37-40,50-59,74981,4506,4998,85,1463,63929,903.1,489.3
41,37-40,60-69,38184,2455,1694,24,525,33486,589.0,314.1
41,37-40,70-79,23109,1363,622,7,201,20916,451.5,253.0
41,37-40,80+,10770,839,375,7,184,9365,364.6,298.5
42,38-41,Under 18,397882,24292,351148,10698,11001,743,314.1,3013.6
42,38-41,18-29,62885,7512,20902,758,8404,25309,462.1,615.4
42,38-41,30-39,92257,7346,21726,636,6545,56004,956.7,751.1
42,38-41,40-49,130904,7297,13022,293,3800,106492,1731.3,772.9
42,38-41,50-59,88020,4790,5399,80,1632,76119,1075.3,528.6
42,38-41,60-69,45155,2614,1872,24,617,40028,704.1,347.1
42,38-41,70-79,27360,1559,658,12,215,24916,537.9,267.6
42,38-41,80+,11907,854,382,7,215,10449,406.8,304.1
43,39-42,Under 18,411079,24798,355008,16640,13812,821,586.2,3149.6
43,39-42,18-29,68780,7713,22436,686,8532,29413,532.9,674.0
43,39-42,30-39,102344,7858,23748,645,6856,63237,1071.8,817.7
43,39-42,40-49,145641,7989,14336,291,3962,119063,1936.2,834.9
43,39-42,50-59,102009,5330,6091,81,1767,88740,1248.7,586.1
43,39-42,60-69,54020,2968,2167,22,702,48161,836.6,391.2
43,39-42,70-79,32909,1822,794,14,254,30025,635.4,312.2
43,39-42,80+,13231,936,434,7,219,11635,432.5,333.8
